date,high,low,open,close,volume,adjclose,blocks-size,avg-block-size,n-transactions-per-block,n-payments-per-block,n-transactions-total,median-confirmation-time,avg-confirmation-time,total-bitcoins,market-price,market-cap,trade-volume,hash-rate,difficulty,transaction-fees,transaction-fees-usd,fees-usd-per-transaction,cost-per-transaction-percent,cost-per-transaction,n-unique-addresses,n-transactions,n-payments,transactions-per-second,output-volume,mempool-count,mempool-growth,mempool-size,utxo-count,n-transactions-excluding-popular,estimated-transaction-volume,estimated-transaction-volume-usd
2018-11-02,6396.85986328125,6327.3798828125,6378.919921875,6388.43994140625,4234870000.0,6388.43994140625,189770.748846,1.11705493006993,2046.88111888112,3486.986013986014,353271482.0,,,,,110428194712.5,,,,18.32471846,118011.23135497,0.393727751010816,,39.3401641867125,,292704.0,498639.0,3.48333333333333,,1541.0,1226.21666666667,1084679.5,,,,
2018-11-03,6400.06982421875,6342.3701171875,6387.240234375,6361.259765625,3658640000.0,6361.259765625,,,,2447.7018633540374,,6.0,9.15060570903847,,6390.42,,191863094.391,,7184404942702.0,,,,,,,,394080.0,2.86666666666667,597667.011591455,4498.0,1324.03333333333,2954975.5,,243433.0,,
2018-11-04,6388.6298828125,6294.56982421875,6365.47021484375,6376.1298828125,4390020000.0,6376.1298828125,,,,2895.483870967742,,,,,,,,54123853.76932581,,,,,1.8934382903671,,418053.0,,359040.0,,,1610.0,,752257.0,,,82401.40320903,525975032.809028
2018-11-05,6480.58984375,6363.6201171875,6363.6201171875,6419.66015625,4174800000.0,6419.66015625,190202.285325,1.04340288111888,2050.62237762238,3191.867132867133,354045146.0,,,,,111211683300.0,,,,18.42231881,118822.420313897,0.40041928360679,,39.5519153888813,,293239.0,456437.0,2.71666666666667,,,915.566666666667,,,,,
2018-11-06,6463.5498046875,6408.16015625,6433.3798828125,6461.009765625,4700040000.0,6461.009765625,,,,3426.359375,,10.6833333333333,39.3297442520409,,6437.76,,161192819.424,,7184404942702.0,,,,,,,,438574.0,3.51666666666667,888083.50817827,1019.0,1451.98333333333,436632.5,,276162.0,,
2018-11-07,6552.16015625,6468.31005859375,6468.5,6530.14013671875,4941260000.0,6530.14013671875,,,,3460.7153846153847,,,,,,,,51832813.4970715,,,,,1.27290447877957,,522948.0,,449893.0,3.56666666666667,,20290.0,1149.26666666667,9351975.0,,,131243.46889415,854471221.93819
2018-11-08,6536.919921875,6438.52978515625,6522.27001953125,6453.72021484375,4665260000.0,6453.72021484375,190637.415963,1.16996561157025,2294.19008264463,3551.3884297520663,354917733.0,,,,,111657027693.75,,,,20.99890399,135561.543332685,0.488339367257877,,35.6736529693501,,277597.0,429718.0,,,6845.0,,3866611.0,,,,
2018-11-09,6456.4599609375,6373.3701171875,6442.60009765625,6385.6201171875,4346820000.0,6385.6201171875,,,,3744.086614173229,,10.7,43.1703197236417,,6444.97,,268942797.627,,7184404942702.0,,,,,,,,475499.0,2.5,857089.235802351,,926.566666666667,,,275144.0,,
2018-11-10,6437.27978515625,6385.31005859375,6386.1298828125,6409.22021484375,3705320000.0,6409.22021484375,,,,2983.083969465649,,,,,,,,47652507.45419569,,,,,2.82008749171342,,448643.0,,390784.0,1.85,,1136.5,676.0,443138.0,,,60442.51854251,384259934.959002
2018-11-11,6423.25,6350.169921875,6413.6298828125,6411.27001953125,3939060000.0,6411.27001953125,191048.214685,0.874062294520548,1691.71917808219,2620.4383561643835,355730743.0,,,,,,,,,14.13978687,89656.272250955,0.362994085820759,,47.2112092029708,,246991.0,382584.0,3.33333333333333,,885.5,1600.55,437480.0,,,,
2018-11-12,6434.2099609375,6360.47021484375,6411.759765625,6371.27001953125,4295770000.0,6371.27001953125,,,,3299.8357142857144,,9.875,19.7658339991217,,6408.53,110521777350.0,149652633.413,,7184404942702.0,,,,,,,,461977.0,,864084.763386748,776.5,,353837.5,,291654.0,,
2018-11-13,6395.27001953125,6342.669921875,6373.18994140625,6359.490234375,4503800000.0,6359.490234375,,,,3589.258333333333,,,,,,,,47091289.48631972,,,,,1.18328180666526,,491741.0,,430711.0,2.16666666666667,,,805.6,,,,128317.62574391,807686927.071364
2018-11-14,6371.5498046875,5544.08984375,6351.240234375,5738.35009765625,7398940000.0,5738.35009765625,191458.122941,1.09477666666667,2168.55555555556,3471.5777777777776,356555806.0,,,,,,,,,25.82337117,157433.389744168,0.528795045509614,,35.2212243119545,,292755.0,468663.0,2.85,,5346.5,1233.38333333333,2127300.0,,,,
